X,Y,Z,Settlement_carga_mm
0.0,0.0,-6.449999999999999,15.067755349890106
0.0,0.0,-4.0,35.47916550148912
0.0,4.0,-4.0,34.96931092837447
0.0,4.0,-3.0,34.97564918776541
0.0,4.0,0.0,25.423766138170322
0.0,20.0,0.0,-0.33413867904221206
0.0,20.0,-6.449999999999999,0.005810078427202825
15.0,0.0,-6.449999999999999,0.4072713033373674
15.0,0.0,0.0,-0.9061778278562542
3.0,0.0,0.0,26.461193434582796
3.0,0.0,-4.0,35.306667882547416
3.0,0.0,-3.0,35.31130694452567
3.0,4.0,-4.0,34.70503675435262
3.0,4.0,-3.0,34.714389655467784
3.0,4.0,0.0,19.540908842931273
15.0,20.0,0.0,-0.36550338314131636
15.0,20.0,-6.449999999999999,-0.17955999693451474
0.0,0.0,-8.7,6.101281549032187
0.0,20.0,-8.7,0.11307747458106121
15.0,0.0,-8.7,0.6321013749267195
15.0,20.0,-8.7,-0.04007140962343669
0.0,0.0,-20.0,0.0
0.0,20.0,-20.0,0.0
15.0,0.0,-20.0,0.0
15.0,20.0,-20.0,0.0
0.0,0.0,-3.0,35.48362857136081
0.0,0.0,-5.55037019864546,22.738637138136
0.0,0.0,-4.69678584970276,29.934068328074687
0.0,0.5714285714285704,-4.0,35.461445495770576
0.0,1.1428571428571417,-4.0,35.42101969151173
0.0,1.7142857142857109,-4.0,35.35895070804709
0.0,2.28571428571428,-4.0,35.27666334933262
0.0,2.8571428571428528,-4.0,35.18184973541362
0.0,3.428571428571426,-4.0,35.07820839518732
0.0,4.0,-3.5000000000000013,34.974856112041095
0.0,4.0,-2.3807483135263547,29.597632441417616
0.0,4.0,-1.7420566481728814,27.351895872541874
0.0,4.0,-1.1332919243378106,26.18963300874414
0.0,4.0,-0.5530519396190576,25.734499483782088
0.0,4.549345030274017,0.0,22.547923418100993
0.0,5.211477326714053,0.0,18.77536976235959
0.0,6.116544840257968,0.0,13.70677320349833
0.0,7.353191204506868,0.0,8.344273682400882
0.0,9.026709638077099,0.0,4.0695524028630246
0.0,10.85559136506425,0.0,1.6580633503287174
0.0,12.6844730920514,0.0,0.6738796321292568
0.0,14.51335481903855,0.0,0.30332258853297844
0.0,16.3422365460257,0.0,0.09520749727792577
0.0,18.17111827301285,0.0,-0.09040258927686295
0.0,20.0,-4.8375,-0.14697347181689224
0.0,20.0,-3.225,-0.2606076256081735
0.0,20.0,-1.6124999999999998,-0.3087057678264671
0.0,0.9018843950929273,-6.45,14.967000839600217
