X,Y,Z,Settlement_gravedad_mm,Settlement_carga_mm,Settlement_total_mm
0.0,5.625,-20.0,-0.0,0.0,0.0
5.0,0.0,-18.0,7.131151306695985,0.12290957627759269,7.254060882973578
5.0,0.0,-16.0,13.794071955982465,0.2605683886672665,14.054640344649732
5.0,7.5,-18.0,9.888873945409326,0.20278522299055268,10.091659168399879
5.0,7.5,-16.0,17.928570863962985,0.38618524123968356,18.31475610520267
5.0,1.875,-20.0,-0.0,0.0,0.0
5.0,3.75,-20.0,-0.0,0.0,0.0
5.0,5.625,-20.0,-0.0,0.0,0.0
1.6666666666666667,0.0,-20.0,-0.0,0.0,0.0
3.3333333333333335,0.0,-20.0,-0.0,0.0,0.0
1.6666666666666667,7.5,-20.0,-0.0,0.0,0.0
3.3333333333333335,7.5,-20.0,-0.0,0.0,0.0
0.0,1.5,-0.3333333333333333,178.37937966673553,46.82874864003742,225.20812830677295
0.0,1.5,-0.16666666666666663,178.5297266534102,57.667280088918716,236.1970067423289
0.0,0.1875,-0.5,178.2498909451996,41.69332191973939,219.943212864939
0.0,0.375,-0.5,178.24817503072907,41.685333957446375,219.93350898817545
0.0,0.5625,-0.5,178.2454530340392,41.67319773621327,219.91865077025247
0.0,0.75,-0.5,178.24138194647313,41.656396719860055,219.89777866633318
0.0,0.9375,-0.5,178.2366375276054,41.637589001454955,219.87422652906037
0.0,1.125,-0.5,178.23096014354846,41.61701178666681,219.84797193021527
0.0,1.3125,-0.5,178.2246998887741,41.59545796802195,219.82015785679604
1.0,0.0,-0.3333333333333333,178.50187031085898,47.31985448533291,225.8217247961919
1.0,0.0,-0.16666666666666663,178.72255271024707,58.05335474539643,236.7759074556435
1.0,0.1875,0.0,178.86273576250036,57.778909677245196,236.64164543974556
1.0,0.375,0.0,178.89691106459253,55.0338394524656,233.93075051705813
1.0,0.5625,0.0,178.9253945353733,53.961074897793225,232.88646943316652
1.0,0.75,0.0,178.95637412700844,53.54634629870307,232.50272042571152
1.0,0.9375,0.0,178.99091681592907,53.205221541760636,232.1961383576897
1.0,1.125,0.0,179.1017520692173,52.08803522607488,231.18978729529218
1.0,1.3125,0.0,179.303374325224,49.92286454363827,229.22623886886228
1.0,1.5,-0.3333333333333333,178.93303391947003,39.80199310936837,218.7350270288384
1.0,1.5,-0.16666666666666663,179.2708680286207,41.56036612779616,220.83123415641685
1.0,0.1875,-0.5,178.2450454060697,41.685709481231584,219.93075488730128
1.0,0.375,-0.5,178.24325540336673,41.67541206534719,219.91866746871392
1.0,0.5625,-0.5,178.2404308748018,41.66053633443073,219.90096720923253
1.0,0.75,-0.5,178.23642735294987,41.6398899103778,219.87631726332768
1.0,0.9375,-0.5,178.2311985577314,41.616588444607316,219.84778700233872
1.0,1.125,-0.5,178.22530316457434,41.58939446441397,219.8146976289883
1.0,1.3125,-0.5,178.21841494436697,41.56126248284863,219.7796774272156
0.2,0.0,-0.5,178.25017868136214,41.69488585207469,219.94506453343683
0.4,0.0,-0.5,178.24979127458914,41.69393655887967,219.9437278334688
0.6,0.0,-0.5,178.24847314902965,41.69021070281249,219.93868385184214
0.8,0.0,-0.5,178.24735597026108,41.68905103480179,219.93640700506288
0.2,1.5,-0.5,178.21711140388652,41.57132061038078,219.7884320142673
0.4,1.5,-0.5,178.21620611677073,41.564291612799906,219.78049772957064
