Carga_kN,Desplazamiento_incremental_mm
100.0,-4.413932842342234
200.0,-8.827865682077942
300.0,-13.24179852181365
400.0,-17.655731361549357
500.0,-22.069664201285065
600.0,-26.483597041020772
700.0,-30.897529880756508
800.0,-35.311462720492216
900.0,-39.725395560227895
1000.0,-44.1393283999636
