X,Y,Z,Settlement_carga_mm
0.0,0.0,-5.0,1.709370457603768
0.0,0.0,-14.0,0.3662077814383018
0.0,7.5,-5.0,0.8826662577015014
0.0,7.5,-14.0,0.39042978096304637
5.0,0.0,-5.0,1.2984823107218588
5.0,0.0,-14.0,0.386258715098009
5.0,7.5,-5.0,0.809974950296052
5.0,7.5,-14.0,0.40597497454822573
0.0,0.0,-20.0,0.0
0.0,7.5,-20.0,0.0
5.0,0.0,-20.0,0.0
5.0,7.5,-20.0,0.0
0.0,0.0,-1.2,4.509386890971541
0.0,1.5,0.0,4.014226136519056
0.0,1.5,-1.2,4.368569539875651
1.0,0.0,0.0,4.237102660900469
1.0,0.0,-1.2,4.483034575943428
1.0,1.5,0.0,3.371876518949236
1.0,1.5,-1.2,4.3052636413545
0.0,0.0,-0.7999999999999999,4.511876416041964
0.0,1.5,-0.7999999999999999,4.3729432547705755
1.0,0.0,-0.7999999999999999,4.486900352114311
1.0,1.5,-0.7999999999999999,4.32478398054014
0.0,7.5,0.0,0.8472502956055905
5.0,0.0,0.0,1.296913867093231
5.0,7.5,0.0,0.6887188062736271
0.0,0.0,-12.2,0.5371684768681142
0.0,0.0,-10.4,0.7308165650197154
0.0,0.0,-8.6,0.9608552808618427
0.0,0.0,-6.8,1.245753161739394
0.0,1.875,-5.0,1.5252997855521002
0.0,3.75,-5.0,1.2553717378352758
0.0,5.625,-5.0,1.0008999252207715
0.0,7.5,-12.2,0.5218300580063229
0.0,7.5,-10.4,0.6409037910172302
0.0,7.5,-8.6,0.7499025010292613
0.0,7.5,-6.8,0.8305635479400735
0.0,1.875,-14.0,0.36410943886499325
0.0,3.75,-14.0,0.36206925346218455
0.0,5.625,-14.0,0.3673742570599572
5.0,0.0,-12.2,0.5522459688136614
5.0,0.0,-10.4,0.7362771021310408
5.0,0.0,-8.6,0.9287760643960965
5.0,0.0,-6.8,1.1323077459871271
5.0,1.875,-5.0,1.2166393179052477
5.0,3.75,-5.0,1.047437724663581
5.0,5.625,-5.0,0.907768858689046
5.0,7.5,-12.2,0.5284436307220624
5.0,7.5,-10.4,0.6360857619924296
5.0,7.5,-8.6,0.7334212977918497
5.0,7.5,-6.8,0.8011974511314008
5.0,1.875,-14.0,0.3843449673417574
5.0,3.75,-14.0,0.3782460729466699
5.0,5.625,-14.0,0.3827071300122995
1.6666666666666667,0.0,-14.0,0.37143115245273606
3.3333333333333335,0.0,-14.0,0.3774933681483752
1.6666666666666667,0.0,-5.0,1.5635491010429234
3.3333333333333335,0.0,-5.0,1.3748443898196072
1.6666666666666667,7.5,-14.0,0.3931962096617809
3.3333333333333335,7.5,-14.0,0.3989519930599599
1.6666666666666667,7.5,-5.0,0.860725784907757
3.3333333333333335,7.5,-5.0,0.831659072591485
0.0,0.0,-18.0,0.09933035401475454
0.0,0.0,-16.0,0.2237520912516615
0.0,7.5,-18.0,0.13898342728818136
0.0,7.5,-16.0,0.264898433328673
0.0,1.875,-20.0,0.0
0.0,3.75,-20.0,0.0
0.0,5.625,-20.0,0.0
5.0,0.0,-18.0,0.12456356281452763
5.0,0.0,-16.0,0.2467427759704126
5.0,7.5,-18.0,0.16440606114594125
5.0,7.5,-16.0,0.28485437206074415
5.0,1.875,-20.0,0.0
5.0,3.75,-20.0,0.0
5.0,5.625,-20.0,0.0
1.6666666666666667,0.0,-20.0,0.0
3.3333333333333335,0.0,-20.0,0.0
1.6666666666666667,7.5,-20.0,0.0
3.3333333333333335,7.5,-20.0,0.0
0.0,1.5,-1.0096322348032698,4.393089764246817
0.0,1.5,-0.8192644696065392,4.837887507233546
0.0,1.5,-0.6288967044098089,4.365000225786687
0.0,1.5,-0.43852893921307834,4.120318196031079
0.0,1.5,-0.24579670243917562,4.046173316359827
0.0,0.1875,-1.2,4.505716310544109
0.0,0.375,-1.2,4.4968223830798735
0.0,0.5625,-1.2,4.483165008783281
0.0,0.75,-1.2,4.464631874452877
0.0,0.9375,-1.2,4.443583829015282
0.0,1.125,-1.2,4.419805845425351
0.0,1.3125,-1.2,4.394273248515418
1.0,0.0,-1.0096322348032698,4.472243656735934
1.0,0.0,-0.8192644696065392,4.7884252059769
1.0,0.0,-0.6288967044098089,4.420723302519114
1.0,0.0,-0.43852893921307834,4.296268751356635
1.0,0.0,-0.24579670243917562,4.251124749175652
1.0,0.4999999999999997,0.0,4.161619217634282
1.0,1.0000000000000018,0.0,3.9125655197272877
1.0,1.5,-1.0096322348032698,4.004434541124958
1.0,1.5,-0.8192644696065392,3.8595834115676055
1.0,1.5,-0.6288967044098089,3.6705271179844416
1.0,1.5,-0.43852893921307834,3.550834510659371
1.0,1.5,-0.24579670243917562,3.4604833379680997
1.0,0.1875,-1.2,4.477757727373053
1.0,0.375,-1.2,4.4678479085532175
1.0,0.5625,-1.2,4.452585017448193
1.0,0.75,-1.2,4.432455832247527
1.0,0.9375,-1.2,4.407307821391264
1.0,1.125,-1.2,4.378085870329322
1.0,1.3125,-1.2,4.347677919351263
0.2,0.0,-1.2,4.506516862671354
0.4,0.0,-1.2,4.502542129988093
0.6,0.0,-1.2,4.49618636043359
0.8,0.0,-1.2,4.489216371959266
0.2,1.5,-1.2,4.364210791275532
0.4,1.5,-1.2,4.355856999738251
0.6,1.5,-1.2,4.345495998146596
0.8,1.5,-1.2,4.3319533978636215
0.4999999999999988,1.5,0.0,3.8286904116264253
0.0,0.0,-0.9999999999999998,4.510623066969238
0.0,0.1875,-0.7999999999999999,4.507346380042186
0.0,0.375,-0.7999999999999999,4.498459281610252
0.0,0.5625,-0.7999999999999999,4.485052050302414
0.0,0.75,-0.7999999999999999,4.466594156810736
0.0,0.9375,-0.7999999999999999,4.445106139001339
0.0,1.125,-0.7999999999999999,4.421579561899819
0.0,1.3125,-0.7999999999999999,4.3966571002596595
0.0,1.5,-0.9999999999999998,4.37064406349689
1.0,0.0,-0.9999999999999998,4.485133372271427
1.0,0.1875,-0.7999999999999999,4.48255601624701
1.0,0.375,-0.7999999999999999,4.472698860048816
1.0,0.5625,-0.7999999999999999,4.456722307743732
1.0,0.75,-0.7999999999999999,4.436265165314012
1.0,0.9375,-0.7999999999999999,4.411156656620989
1.0,1.125,-0.7999999999999999,4.382967811604509
1.0,1.3125,-0.7999999999999999,4.353769276377875
1.0,1.5,-0.9999999999999998,4.3200956680361315
0.2,0.0,-0.7999999999999999,4.508172709453511
0.4,0.0,-0.7999999999999999,4.503934496294576
0.6,0.0,-0.7999999999999999,4.497726386875925
0.8,0.0,-0.7999999999999999,4.490911534000475
0.2,1.5,-0.7999999999999999,4.368443127089392
0.4,1.5,-0.7999999999999999,4.360574517141622
0.6,1.5,-0.7999999999999999,4.349726162032908
0.8,1.5,-0.7999999999999999,4.337351640409047
0.0,0.0,-3.9780982410817316,2.224426250688758
0.0,0.0,-3.224952941674347,2.697537815470284
0.0,0.0,-2.669854273335367,3.1535605628724355
0.0,0.0,-2.2607841084596094,3.5248832393719383
0.0,0.0,-1.9593086456679112,3.81086397456081
0.0,0.0,-1.7371280296776526,4.021673321610507
0.0,0.0,-1.5573320465988916,4.1872265864362745
0.0,0.0,-1.3786660232994459,4.34878091575694
0.0,2.0935143038203536,0.0,3.070733739788949
0.0,2.9081112648526735,0.0,2.1491828798662027
0.0,4.036252193044871,0.0,1.5587959674371348
0.0,5.598590176669995,0.0,1.1385768595939538
0.0,7.5,-3.333333333333333,0.8850275157057581
