X,Y,Z,Settlement_gravedad_mm,Settlement_carga_mm,Settlement_total_mm
0.0,0.0,-5.0,41.181113109207665,1.709370457603768,42.89048356681143
0.0,0.0,-14.0,18.777455802509778,0.3662077814383018,19.14366358394808
0.0,7.5,-5.0,39.771887627946434,0.8826662577015014,40.654553885647935
0.0,7.5,-14.0,19.436353526147823,0.39042978096304637,19.82678330711087
5.0,0.0,-5.0,40.45776798427105,1.2984823107218588,41.75625029499291
5.0,0.0,-14.0,18.909309976108986,0.386258715098009,19.295568691206995
5.0,7.5,-5.0,39.03467242390329,0.809974950296052,39.84464737419934
5.0,7.5,-14.0,19.531694264794083,0.40597497454822573,19.93766923934231
0.0,0.0,-20.0,-0.0,0.0,0.0
0.0,7.5,-20.0,-0.0,0.0,0.0
5.0,0.0,-20.0,-0.0,0.0,0.0
5.0,7.5,-20.0,-0.0,0.0,0.0
0.0,0.0,-1.2,45.45227572247638,4.509386890971541,49.96166261344792
0.0,1.5,0.0,45.832143782247016,4.014226136519056,49.84636991876607
0.0,1.5,-1.2,45.43760779932655,4.368569539875651,49.8061773392022
1.0,0.0,0.0,45.83475324917427,4.237102660900469,50.07185591007474
1.0,0.0,-1.2,45.45109913340437,4.483034575943428,49.9341337093478
1.0,1.5,0.0,45.9053181824557,3.371876518949236,49.27719470140494
1.0,1.5,-1.2,45.43610723592466,4.3052636413545,49.74137087727916
0.0,0.0,-0.7999999999999999,45.45267913347973,4.511876416041964,49.96455554952169
0.0,1.5,-0.7999999999999999,45.438070795610884,4.3729432547705755,49.81101405038146
1.0,0.0,-0.7999999999999999,45.45161165284083,4.486900352114311,49.93851200495514
1.0,1.5,-0.7999999999999999,45.436466817143454,4.32478398054014,49.761250797683594
0.0,7.5,0.0,44.34751992308546,0.8472502956055905,45.19477021869105
5.0,0.0,0.0,45.128208851191566,1.296913867093231,46.4251227182848
5.0,7.5,0.0,43.50918791022169,0.6887188062736271,44.19790671649532
0.0,0.0,-12.2,24.908275817373323,0.5371684768681142,25.445444294241437
0.0,0.0,-10.4,30.251074776554184,0.7308165650197154,30.9818913415739
0.0,0.0,-8.6,34.76100218499715,0.9608552808618427,35.721857465858996
0.0,0.0,-6.8,38.39013637379935,1.245753161739394,39.635889535538745
0.0,1.875,-5.0,41.061935256079735,1.5252997855521002,42.587235041631835
0.0,3.75,-5.0,40.73580781922684,1.2553717378352758,41.99117955706212
0.0,5.625,-5.0,40.35743759318099,1.0008999252207715,41.35833751840176
0.0,7.5,-12.2,24.82917569671724,0.5218300580063229,25.351005754723563
0.0,7.5,-10.4,29.61948169681058,0.6409037910172302,30.26038548782781
0.0,7.5,-8.6,33.676884201985075,0.7499025010292613,34.426786703014336
0.0,7.5,-6.8,37.06121570878589,0.8305635479400735,37.89177925672596
0.0,1.875,-14.0,18.782195479221574,0.36410943886499325,19.146304918086567
0.0,3.75,-14.0,18.916453031474276,0.36206925346218455,19.27852228493646
0.0,5.625,-14.0,19.124041113502475,0.3673742570599572,19.491415370562432
5.0,0.0,-12.2,24.574520004387008,0.5522459688136614,25.12676597320067
5.0,0.0,-10.4,29.629802886988625,0.7362771021310408,30.366079989119665
5.0,0.0,-8.6,33.989071495227044,0.9287760643960965,34.91784755962314
5.0,0.0,-6.8,37.611685212839724,1.1323077459871271,38.74399295882685
5.0,1.875,-5.0,40.28518389996687,1.2166393179052477,41.501823217872115
5.0,3.75,-5.0,40.07527202855599,1.047437724663581,41.122709753219574
5.0,5.625,-5.0,39.59979946583676,0.907768858689046,40.507568324525806
5.0,7.5,-12.2,24.478913745027352,0.5284436307220624,25.007357375749415
5.0,7.5,-10.4,28.97764453509736,0.6360857619924296,29.61373029708979
5.0,7.5,-8.6,32.922751234945814,0.7334212977918497,33.65617253273766
5.0,7.5,-6.8,36.3813404556222,0.8011974511314008,37.1825379067536
5.0,1.875,-14.0,18.918025420311263,0.3843449673417574,19.30237038765302
5.0,3.75,-14.0,19.077624561414442,0.3782460729466699,19.455870634361112
5.0,5.625,-14.0,19.25825618506121,0.3827071300122995,19.64096331507351
1.6666666666666667,0.0,-14.0,18.78679875692768,0.37143115245273606,19.158229909380417
3.3333333333333335,0.0,-14.0,18.86832851936911,0.3774933681483752,19.245821887517486
1.6666666666666667,0.0,-5.0,40.96967058946201,1.5635491010429234,42.533219690504936
3.3333333333333335,0.0,-5.0,40.77852000013976,1.3748443898196072,42.153364389959364
1.6666666666666667,7.5,-14.0,19.4016351762557,0.3931962096617809,19.79483138591748
3.3333333333333335,7.5,-14.0,19.458718200724864,0.3989519930599599,19.857670193784823
1.6666666666666667,7.5,-5.0,39.60470287308848,0.860725784907757,40.465428657996235
3.3333333333333335,7.5,-5.0,39.324585401486225,0.831659072591485,40.15624447407771
0.0,0.0,-18.0,5.989215252007245,0.09933035401475454,6.088545606022
0.0,0.0,-16.0,12.469875018038787,0.2237520912516615,12.693627109290448
0.0,7.5,-18.0,7.455194366295173,0.13898342728818136,7.594177793583355
0.0,7.5,-16.0,13.726152052672743,0.264898433328673,13.991050486001416
0.0,1.875,-20.0,-0.0,0.0,0.0
0.0,3.75,-20.0,-0.0,0.0,0.0
0.0,5.625,-20.0,-0.0,0.0,0.0
5.0,0.0,-18.0,7.102032301236458,0.12456356281452763,7.226595864050986
5.0,0.0,-16.0,13.070730248453579,0.2467427759704126,13.317473024423991
5.0,7.5,-18.0,8.563618119459978,0.16440606114594125,8.72802418060592
5.0,7.5,-16.0,14.264302114597513,0.28485437206074415,14.549156486658257
5.0,1.875,-20.0,-0.0,0.0,0.0
5.0,3.75,-20.0,-0.0,0.0,0.0
5.0,5.625,-20.0,-0.0,0.0,0.0
1.6666666666666667,0.0,-20.0,-0.0,0.0,0.0
3.3333333333333335,0.0,-20.0,-0.0,0.0,0.0
1.6666666666666667,7.5,-20.0,-0.0,0.0,0.0
3.3333333333333335,7.5,-20.0,-0.0,0.0,0.0
0.0,1.5,-1.0096322348032698,45.538372094316586,4.393089764246817,49.9314618585634
0.0,1.5,-0.8192644696065392,45.640354218361196,4.837887507233546,50.47824172559474
0.0,1.5,-0.6288967044098089,45.71201181738935,4.365000225786687,50.07701204317604
0.0,1.5,-0.43852893921307834,45.77496661755565,4.120318196031079,49.89528481358673
0.0,1.5,-0.24579670243917562,45.81086556902737,4.046173316359827,49.8570388853872
0.0,0.1875,-1.2,45.452008840910125,4.505716310544109,49.957725151454234
0.0,0.375,-1.2,45.45132105971546,4.4968223830798735,49.948143442795335
0.0,0.5625,-1.2,45.450169164160926,4.483165008783281,49.93333417294421
0.0,0.75,-1.2,45.44853800582777,4.464631874452877,49.91316988028065
0.0,0.9375,-1.2,45.446478648260886,4.443583829015282,49.89006247727617
0.0,1.125,-1.2,45.44397345979762,4.419805845425351,49.86377930522297
0.0,1.3125,-1.2,45.44101446271316,4.394273248515418,49.83528771122858
1.0,0.0,-1.0096322348032698,45.5529369473287,4.472243656735934,50.02518060406464
1.0,0.0,-0.8192644696065392,45.645439193203686,4.7884252059769,50.433864399180585
1.0,0.0,-0.6288967044098089,45.72092049656451,4.420723302519114,50.141643799083624
1.0,0.0,-0.43852893921307834,45.77636792704605,4.296268751356635,50.07263667840269
1.0,0.0,-0.24579670243917562,45.81104116892686,4.251124749175652,50.062165918102515
1.0,0.4999999999999997,0.0,45.8476712285964,4.161619217634282,50.00929044623068
1.0,1.0000000000000018,0.0,45.87411620126342,3.9125655197272877,49.78668172099071
1.0,1.5,-1.0096322348032698,45.57400574070389,4.004434541124958,49.57844028182885
1.0,1.5,-0.8192644696065392,45.6888386667286,3.8595834115676055,49.548422078296205
1.0,1.5,-0.6288967044098089,45.76574502641724,3.6705271179844416,49.436272144401684
1.0,1.5,-0.43852893921307834,45.82504249756912,3.550834510659371,49.37587700822849
1.0,1.5,-0.24579670243917562,45.865975292427095,3.4604833379680997,49.326458630395194
1.0,0.1875,-1.2,45.45095607537937,4.477757727373053,49.928713802752426
1.0,0.375,-1.2,45.4502678050877,4.4678479085532175,49.918115713640915
1.0,0.5625,-1.2,45.44926402737352,4.452585017448193,49.90184904482172
1.0,0.75,-1.2,45.4476308827986,4.432455832247527,49.880086715046126
1.0,0.9375,-1.2,45.44567598322903,4.407307821391264,49.852983804620294
1.0,1.125,-1.2,45.442955808694244,4.378085870329322,49.821041679023566
1.0,1.3125,-1.2,45.4399397540342,4.347677919351263,49.78761767338546
0.2,0.0,-1.2,45.452168213561556,4.506516862671354,49.95868507623291
0.4,0.0,-1.2,45.45211846297034,4.502542129988093,49.95466059295843
0.6,0.0,-1.2,45.451919318543695,4.49618636043359,49.948105678977285
0.8,0.0,-1.2,45.451634908079555,4.489216371959266,49.94085128003882
0.2,1.5,-1.2,45.4375213052769,4.364210791275532,49.801732096552435
0.4,1.5,-1.2,45.43726899577248,4.355856999738251,49.79312599551073
0.6,1.5,-1.2,45.436989479038,4.345495998146596,49.78248547718459
0.8,1.5,-1.2,45.43669055854281,4.3319533978636215,49.76864395640643
0.4999999999999988,1.5,0.0,45.855619714783835,3.8286904116264253,49.68431012641026
0.0,0.0,-0.9999999999999998,45.452555046921425,4.510623066969238,49.96317811389066
0.0,0.1875,-0.7999999999999999,45.452424080587015,4.507346380042186,49.9597704606292
0.0,0.375,-0.7999999999999999,45.45171256894416,4.498459281610252,49.95017185055441
0.0,0.5625,-0.7999999999999999,45.45060149539833,4.485052050302414,49.935653545700745
0.0,0.75,-0.7999999999999999,45.44895221260901,4.466594156810736,49.915546369419744
0.0,0.9375,-0.7999999999999999,45.446878424811786,4.445106139001339,49.891984563813125
0.0,1.125,-0.7999999999999999,45.44430680932566,4.421579561899819,49.86588637122548
0.0,1.3125,-0.7999999999999999,45.44130230862987,4.3966571002596595,49.83795940888953
0.0,1.5,-0.9999999999999998,45.43792191250985,4.37064406349689,49.80856597600674
1.0,0.0,-0.9999999999999998,45.451454793852406,4.485133372271427,49.93658816612383
1.0,0.1875,-0.7999999999999999,45.451393660149094,4.48255601624701,49.933949676396104
1.0,0.375,-0.7999999999999999,45.4507691081742,4.472698860048816,49.923467968223015
1.0,0.5625,-0.7999999999999999,45.449643899229706,4.456722307743732,49.90636620697344
1.0,0.75,-0.7999999999999999,45.44806688168718,4.436265165314012,49.884332047001195
1.0,0.9375,-0.7999999999999999,45.4459425292334,4.411156656620989,49.85709918585439
1.0,1.125,-0.7999999999999999,45.44325131044661,4.382967811604509,49.82621912205112
1.0,1.3125,-0.7999999999999999,45.44010834698239,4.353769276377875,49.79387762336027
1.0,1.5,-0.9999999999999998,45.43607655344485,4.3200956680361315,49.75617222148098
0.2,0.0,-0.7999999999999999,45.4525932230771,4.508172709453511,49.96076593253061
0.4,0.0,-0.7999999999999999,45.45253833193033,4.503934496294576,49.9564728282249
0.6,0.0,-0.7999999999999999,45.452353266593555,4.497726386875925,49.95007965346948
0.8,0.0,-0.7999999999999999,45.45198003257626,4.490911534000475,49.94289156657673
0.2,1.5,-0.7999999999999999,45.437983256817894,4.368443127089392,49.80642638390729
0.4,1.5,-0.7999999999999999,45.437788588914664,4.360574517141622,49.798363106056286
0.6,1.5,-0.7999999999999999,45.437505102438486,4.349726162032908,49.787231264471394
0.8,1.5,-0.7999999999999999,45.437080295125526,4.337351640409047,49.77443193553457
0.0,0.0,-3.9780982410817316,42.80397019353706,2.224426250688758,45.02839644422582
0.0,0.0,-3.224952941674347,43.83956019918426,2.697537815470284,46.537098014654546
0.0,0.0,-2.669854273335367,44.4602357092558,3.1535605628724355,47.61379627212823
0.0,0.0,-2.2607841084596094,44.84196111719871,3.5248832393719383,48.366844356570645
0.0,0.0,-1.9593086456679112,45.0750078827754,3.81086397456081,48.88587185733621
0.0,0.0,-1.7371280296776526,45.22135413075097,4.021673321610507,49.243027452361474
0.0,0.0,-1.5573320465988916,45.31956339020845,4.1872265864362745,49.506789976644725
0.0,0.0,-1.3786660232994459,45.39700860279602,4.34878091575694,49.74578951855296
0.0,2.0935143038203536,0.0,45.897074486592814,3.070733739788949,48.96780822638176
0.0,2.9081112648526735,0.0,45.86975450714343,2.1491828798662027,48.018937387009636
0.0,4.036252193044871,0.0,45.66581323624528,1.5587959674371348,47.22460920368241
0.0,5.598590176669995,0.0,45.09747450887552,1.1385768595939538,46.236051368469475
0.0,7.5,-3.333333333333333,42.180438179033985,0.8850275157057581,43.06546569473974
0.0,7.5,-1.6666666666666665,43.651423507563095,0.8615948801057911,44.513018387668886
5.0,0.0,-3.333333333333333,42.94312648067073,1.4072642932040509,44.35039077387478
5.0,0.0,-1.6666666666666665,44.47507366719719,1.3471884541710892,45.822262121368276
1.584174767136193,0.0,0.0,45.89221515210346,3.342274044032706,49.23448919613617
2.382299656002554,0.0,0.0,45.88868989778782,2.41130962484889,48.29999952263671
3.4827665484379806,0.0,0.0,45.617904230058066,1.7571468873147893,47.375051117372855
1.6666666666666667,7.5,0.0,44.141756699953795,0.8248305135731115,44.96658721352691
3.3333333333333335,7.5,0.0,43.91187755101431,0.7741973886841222,44.68607493969843
5.0,1.875,0.0,45.07315008353451,1.2533776961252059,46.32652777965971
5.0,3.75,0.0,44.78903702305068,1.0937895818031151,45.8828266048538
5.0,5.625,0.0,44.269481475180555,0.8973792254439132,45.16686070062447
5.0,7.5,-3.333333333333333,41.31200413134377,0.7552637005636385,42.06726783190741
5.0,7.5,-1.6666666666666665,42.890416161388536,0.704252267009366,43.5946684283979
0.0,5.997373011451305,-9.499722910466748,32.2607061217266,0.7049630762551189,32.96566919798172
0.0,1.5025082475914338,-9.499999504934987,32.52141486886467,0.8338300469080338,33.3552449157727
0.0,2.7774223905903144,-6.794978517019362,38.264103609597356,1.137472827361968,39.401576436959324
0.0,2.778809862464767,-12.203769184859755,24.912111414714822,0.5237626489151701,25.435874063629992
0.0,4.716129023347552,-6.818925431411245,37.96827765623112,0.9529576011438294,38.92123525737495
0.0,3.8048088359798977,-8.067299160093304,35.745680519383036,0.9023805467576622,36.6480610661407
0.0,4.716377260744486,-12.179135872996268,25.081501813841165,0.5112638178222468,25.59276563166341
0.0,3.8050462520543746,-10.931305435096721,28.806876930847285,0.6285508860613653,29.43542781690865
0.0,6.1408588646698306,-7.778258372629646,35.84981767450893,0.8104303988704586,36.660248073379385
0.0,1.3587580408072795,-11.22482684637404,27.94691557084095,0.6310058973136066,28.577921468154557
0.0,1.3586071870821415,-7.774962370409055,36.58818904288291,1.068130514501732,37.65631955738464
0.0,6.140420022901386,-11.220675195318751,27.765378062073694,0.5812620016270351,28.34664006370073
0.0,6.179110415562538,-12.67387406961844,23.596021791280606,0.4738697623400654,24.06989155362067
0.0,1.3205962268217775,-12.675372662023625,23.3974834925101,0.48561176964307506,23.883095262153176
0.0,1.320516139066696,-6.324551167561039,39.256141763539915,1.2965036952508129,40.55264545879073
0.0,6.18127654670676,-6.32372342853852,38.332943553818836,0.8868759931525432,39.21981954697138
0.0,4.990887356688169,-8.611593348620675,34.439436843206884,0.8005733012531664,35.24001014446005
0.0,3.7683839528222123,-9.499620655635685,32.568820573388315,0.7626309967507297,33.331451570139045
0.0,2.5095612722108323,-8.612451187895529,34.718981590719935,0.9021579938916773,35.62113958461161
0.0,4.990921077312796,-10.38753740105394,30.20834881078951,0.6553495225413428,30.863698333330852
0.0,2.509078922687205,-10.387537401053937,30.35177676098125,0.7008394246336813,31.05261618561493
5.0,5.997373011451305,-9.499722910466748,31.481670371647468,0.6938399385607354,32.1755103102082
5.0,1.5025082475914338,-9.499999504934987,31.88550691374567,0.8138253124456973,32.699332226191366
5.0,2.7774223905903144,-6.794978517019362,37.5638338992368,1.0258160312864817,38.58964993052328
5.0,2.778809862464767,-12.203769184859755,24.612270822424673,0.5349882173740497,25.147259039798723
5.0,4.716129023347552,-6.818925431411245,37.20307531652949,0.8960892192775134,38.099164535807006
5.0,3.8048088359798977,-8.067299160093304,34.99667006986919,0.8588622888814257,35.855532358750615
5.0,4.716377260744486,-12.179135872996268,24.756041840140465,0.520665360187877,25.276707200328342
5.0,3.8050462520543746,-10.931305435096721,28.241676563966966,0.6310496870896465,28.872726251056612
5.0,6.1408588646698306,-7.778258372629646,35.0891633642371,0.7814413007940431,35.870604665031145
5.0,1.3587580408072795,-11.22482684637404,27.492687686169983,0.6374087736478842,28.130096459817867
5.0,1.3586071870821415,-7.774962370409055,35.83312771787452,0.9970831521699566,36.830210870044475
5.0,6.140420022901386,-11.220675195318751,27.335741394038,0.5852425187205696,27.92098391275857
5.0,6.179110415562538,-12.67387406961844,23.383154235597786,0.4838275255083673,23.866981761106153
5.0,1.3205962268217775,-12.675372662023625,23.19208913588303,0.5001670427177736,23.692256178600804
5.0,1.320516139066696,-6.324551167561039,38.423170891976405,1.1457727996659486,39.56894369164235
5.0,6.18127654670676,-6.32372342853852,37.65735489487798,0.8418760919649628,38.499230986842946
5.0,4.990887356688169,-8.611593348620675,33.71986693639101,0.77815663957373,34.49802357596474
5.0,3.7683839528222123,-9.499620655635685,31.881476987376978,0.7514485908241113,32.63292557820109
5.0,2.5095612722108323,-8.612451187895529,34.02248542392134,0.8698826973650355,34.892368121286374
5.0,4.990921077312796,-10.38753740105394,29.61201854748753,0.6534414345154111,30.26545998200294
5.0,2.509078922687205,-10.387537401053937,29.73879233443506,0.7034547980095276,30.44224713244459
