X,Y,Z,Settlement_gravedad_mm
0.0,0.8683301577148808,-5.299418182981503,389.949303378271
0.0,0.6993896380415445,-10.498123578887277,325.5622784954867
0.0,0.25914800936321053,-5.742378369190249,386.0517337149814
0.0,1.1700661822257132,-12.816988367947477,282.56093827194064
0.0,3.317484458129061,-7.700501929448917,364.1786502635891
0.0,3.368682420644794,-14.743434479998408,241.73347664610412
0.0,3.3751550216290167,-11.18415205391581,312.87321287076645
0.0,0.41188734681503325,-5.321298323197718,389.84687490954894
0.0,0.43906985006042576,-9.597457876417696,339.7903870175178
0.0,0.9210086906145826,-9.147431843674704,346.5308365902888
0.0,0.8853292772739556,-8.58116628554801,354.29547024994173
0.0,1.5211763720772367,-8.799365213866826,351.306264376043
0.0,1.3795233712694945,-8.416849347751636,356.39209958817173
0.0,1.6873449707024233,-9.663649034356673,338.78557717782263
0.0,0.5061047262936692,-8.438367933675861,356.2207608584074
0.0,2.418984530505606,-9.151214364576564,345.91675937739456
0.0,1.498141724243863,-14.634624839590861,242.54511735555946
0.0,3.258352397761522,-5.649595605748338,385.37760978319193
0.0,2.832156375721694,-6.228160664595007,380.2685198369278
0.0,2.0342452440979746,-6.143742689608629,381.62525028826974
0.0,2.2988948255920083,-6.7889098043809994,374.9594933891178
0.0,1.7953963091048346,-6.620805288966178,376.95128658106694
0.0,1.8750842144700326,-7.252405058236427,370.15494546607107
0.0,1.3560476641069714,-7.10345930715919,372.02836266920633
0.0,1.5138330986079185,-6.041196297891025,382.86568599492983
0.0,1.2882725067643492,-6.409988302414172,379.34202593185785
0.0,0.5753083712226619,-8.723320475302053,352.4259184125898
0.0,0.6959851773902339,-8.229395461649684,358.9007434374792
0.0,0.971250752781021,-8.222682159762432,358.9272980405142
0.0,0.8114586757135073,-7.970571832018559,362.13392179715447
0.0,1.106696726877589,-7.941678121975281,362.4377881959772
0.0,0.9443240169301375,-7.693746980636629,365.4396160545115
0.0,1.2517835441845588,-7.670726460530664,365.62971049711587
0.0,1.4818485875876262,-7.948326973431371,362.25189596537973
0.0,0.632826466481051,-7.70998235213151,365.30264031146373
0.0,0.7730219212247298,-7.443085345640972,368.38848407675863
0.0,0.48245412920667513,-7.458598876848432,368.2579125682019
0.0,0.6227831084861991,-7.20345118095036,371.13070980940296
0.0,0.8959933509563719,-7.1828825116453885,371.30231084964225
0.0,0.7436736210513848,-6.936740234809006,374.02721227590854
